fieldID,fieldName,fieldType,validationMessage,placeholder,questionID
1360,"If YES, please give name of tablet, dosage and how often you take the tablets",textbox,,"If YES, please give name of tablet, dosage and how often you take the tablets",0
1361,8 What are the arrangements for following you up?,textbox,,8 What are the arrangements for following you up?,0
1362,9 When was your last blood pressure reading?,textbox,,9 When was your last blood pressure reading?,0
1363,10 Do you know what it is? Please specify,textbox,,10 Do you know what it is? Please specify,0
1364,11 Have tests on your urine always been normal?,radiogroup,,11 Have tests on your urine always been normal?,0
1365,"If No, please give details",textbox,,"If No, please give details",0
1366,12 How many cigarettes do you smoke a day?,textbox,,12 How many cigarettes do you smoke a day?,0
1367,1 What are your symptoms?,textbox,,1 What are your symptoms?,0
1368,2 How frequent and severe are they?,textbox,,2 How frequent and severe are they?,0
1369,3 Please give dates,textbox,,3 Please give dates,0
1370,4 Have you been given a precise diagnosis?,radiogroup,,4 Have you been given a precise diagnosis?,0
1371,"5 What tablets have you taken? E.g. Aludrox, Gaviscon, Tagamet, Zantac",textbox,,"5 What tablets have you taken? E.g. Aludrox, Gaviscon, Tagamet, Zantac",0
1372,6 Have you had a barium meal or any other investigation?,radiogroup,,6 Have you had a barium meal or any other investigation?,0
1373,7 Have you had any operation ?,radiogroup,,7 Have you had any operation ?,0
1374,Date of Operation,date,,Date of Operation,0
1375,8 Have you had any problems since?,radiogroup,,8 Have you had any problems since?,0
1376,9 Are you being followed up or receiving any treatment now?,radiogroup,,9 Are you being followed up or receiving any treatment now?,0
1377,10 If you have been discharged from follow up?,radiogroup,,10 If you have been discharged from follow up?,0
1378,When was this,textbox,,When was this,0
1379,11 Have you been off work with this complaint?,radiogroup,,11 Have you been off work with this complaint?,0
1380,Please share details (Please say when and for how long),textbox,,Please share details (Please say when and for how long),0
1381,Need Analysis,customelabel,,,0
1382,Other Policies,customDocument,,Other Policies,0
1383,Total Death Benifit Amount,numeric,Please enter ,Total Death Benifit Amount,0
1384,Total Accidental Benifit,numeric,Please enter ,Total Accidental Benifit,0
1385,Total Critical Illness Benifit,numeric,Please enter ,Total Critical Illness Benifit,0
1386,Total Hospitalization/day,numeric,Please enter ,Total Hospitalization/day,0
1387,Total Hospitalization Reimbursement Benifit Amount,numeric,Please enter ,Total Hospitalization Reimbursement Benifit Amount,0
1388,Company Name,textbox,Please enter ,Company Name,0
1389,Policy/Prop.No,textbox,Please enter ,Policy/Prop.No,0
1390,Death Benifit Amount,numeric,Please enter ,Death Benifit Amount,0
1391,Accidental Benifit,numeric,Please enter ,Accidental Benifit,0
1392,Critical Illness Benifit,numeric,Please enter ,Critical Illness Benifit,0
1393,Hospitalization/day,numeric,Please enter ,Hospitalization/day,0
1394,Hospitalization Reimbursement Benifit Amount,numeric,Please enter ,Hospitalization Reimbursement Benifit Amount,0
1395,Current Status,dropdown,Please select,Current Status,0
1396,Comments,textbox,Please enter ,Comments,0
1397,Please provide details in case of poor health or under medication,label,Please ,Please provide details in case of poor health or under medication,0
1398,Relationship,textbox,Please enter,Relationship,0
1399,Details,textbox,Please enter,Details,0
1400,Proposer Signature,imagePicker,Please select,Proposer Signature,0
1401,Digital Signature,signature,Please enter,Digital Signature,0
1402,Spouse,label,Please ,Spouse,0
1403,Signature,imagePicker,Please select,Signature,0
1404,Proposal Details,label,Please ,Proposal Details,0
1405,Payment Options,label,Please ,Proposal Details,0
1406,Identification No,customheaderlabel,Please ,Identification No,0
1407,Proposer Name,customheaderlabel,Please ,Proposer Name,0
1408,Plan Name,customheaderlabel,Please ,Plan Name,0
1409,Policy Term,customheaderlabel,Please ,Policy Term,0
1410,Issue Date,customheaderlabel,Please ,Issue Date,0
1411,Premium,customheaderlabel,Please ,Premium,0
1412,Payable Amount:,customheaderlabel,Please ,Payable Amount:,0
1413,Proced To Pay,button,Please ,Proced To Pay,0
1414,Select Option,radiogroup,Please select,Select Option,0
1415,Cheque Details,label,Please ,Cheque Details,0
1416,Name,textbox,Please enter,Name,0
1417,Payer Relationship,dropdown,Please select,Payer Relationship,0
1418,Cheque Relationship,dropdown,Please select,Cheque Relationship,0
1419,Instrument No,textbox,Please enter,Instrument No,0
1420,Instrument Date,date,Please select,Instrument Date,0
1421,Amount,numeric,Please enter,Amount,0
1422,Bank Name,dropdown,Please select,Bank Name,0
1423,Branch Name,dropdown,Please select,Branch Name,0
1424,Total Amount Paid By,customheaderlabel,Please ,Total Amount Paid By,0
1425,Cash,numeric,Please enter,Cash,0
1426,Cheque,numeric,Please enter,Cheque,0
1427,DD,numeric,Please enter ,DD,0
1428,Internal Utilization,numeric,Please enter,Internal Utilization,0
1429,Advisor Deposit,numeric,Pleasse enter,Advisor Deposit,0
1430,Total Payable Amount,numeric,Please enter,Total Payable Amount,0
1431,Total Paid Amount,numeric,Please enter,Total Paid Amount,0
1432,Client Name,customheaderlabel,Please ,Client Name,0
1433,Proposal Number/Request Number,customheaderlabel,Please ,Proposal Number/Request Number,0
1434,Payment Method,customheaderlabel,Please ,Payment Method,0
1435,Premium Amount,customheaderlabel,Please ,Premium Amount,0
1436,Paying Amount,customheaderlabel,Please ,Paying Amount,0
1437,Submit,button,Please ,Submit,0
1438,Enter OTP,numeric,Please enter,Enter OTP,0
1439,Procced,button,Please ,Procced,0
1440,Add,customDocument,Please ,Add,0
1441,Add,customDocument,Please ,Add,0
1442,Cash,label,Please ,Cash,0
1443,Cash Amount,numeric,Please enter,Cash Amount,0
1444,Days Left,label,Please ,Days Left,0
1445,Quote No,label,Please ,Quote No,0
1446,Quotation Date,label,Please ,Quotation Date,0
1447,Transaction Date,label,Please ,Transaction Date,0
1448,Receipt Status,label,Please ,Receipt Status,0
1449,Proposal Status,label,Please ,Proposal Status,0
1450,Please select the medical benefit:,radiogroup,Please select,Please select the medical benefit:,0
1451,Please select the benefit receiving period:,radiogroup,Please select,Please select the benefit receiving period:,0
1452,Please indicate whether Reimbursement cover applied for:,radiogroup,Please select,Please indicate whether Reimbursement cover applied for:,0
